Date,Description,Amount
07/02/2026,TESCO STORES 3217,52.40
07/02/2026,TFL TRAVEL CHARGE,8.50
06/02/2026,NETFLIX.COM,15.99
06/02/2026,UBER *TRIP GHTK4,14.20
05/02/2026,SAINSBURYS S/MKTS,38.75
05/02/2026,NANDOS CAMDEN,28.90
04/02/2026,AMAZON.CO.UK *RT5KQ,67.49
04/02/2026,PRET A MANGER,6.80
04/02/2026,TFL TRAVEL CHARGE,8.50
03/02/2026,STARBUCKS KINGS X,4.95
03/02/2026,SPOTIFY P1A2B3,9.99
02/02/2026,RENT - OPENRENT,1450.00
02/02/2026,OCTOPUS ENERGY,92.00
02/02/2026,VIRGIN MEDIA LTD,35.00
01/02/2026,DELIVEROO *ORDER,22.50
01/02/2026,BOOTS 2134,18.30
01/02/2026,TFL TRAVEL CHARGE,8.50
31/01/2026,ASOS.COM,44.99
31/01/2026,COSTA COFFEE,3.75
30/01/2026,VODAFONE LTD,28.00
30/01/2026,LIDL GB HACKNEY,31.20
29/01/2026,ODEON CINEMA,13.50
29/01/2026,UBER *TRIP HHN9X,9.80
28/01/2026,GREGGS 1072,5.40
28/01/2026,PUREGYM MEMBER,24.99
27/01/2026,WAITROSE 574,61.33
27/01/2026,TFL TRAVEL CHARGE,8.50
26/01/2026,WAGAMAMA SOHO,35.60
26/01/2026,AMAZON PRIME*RN4K,8.99
25/01/2026,IKEA ONLINE,148.50
25/01/2026,COUNCIL TAX DD,156.00
